"LRTLat","LRTLon"
"34.114324",-117.924902
"37.431939",-121.964573
"35.53117",-118.9311
"35.519621",-120.640709
"39.748612",-121.846224
"NA",NA
"40.789003",-124.180868
"40.789003",-124.180868
"37.44787",-122.10351
"35.666585",-120.75157
"38.58513",-121.4643
"NA",NA
"37.41326",-121.97098
"36.9764",-122.1054
"NA",NA
"35.39776",-119.61154
"35.39776",-119.61154
"35.39776",-119.61154
"33.98953",-118.23908
"33.98953",-118.23908
"33.98953",-118.23908
"37.36494",-121.8845
"37.36494",-121.8845
"37.36494",-121.8845
"37.36494",-121.8845
"33.095244",-117.314204
"35.18417",-120.59792
"NA",NA
"35.18417",-120.59792
"33.9949",-118.1539
"NA",NA
"33.9949",-118.1539
"33.9949",-118.1539
"37.960508",-121.255642
"33.648819",-117.931126
"37.3939",-120.4981
"36.8026",-121.6186
"36.8026",-121.6186
"33.788164",-118.214342
"35.95943",-120.00865
"NA",NA
"35.95943",-120.00865
"35.95943",-120.00865
"35.95943",-120.00865
"35.95943",-120.00865
"35.95943",-120.00865
"37.6827",-122.45642
"37.7145",-122.19314
"37.94741",-121.295484
"37.94741",-121.295484
"32.813972",-116.966765
"34.01087",-118.20365
"34.01087",-118.20365
"33.916988",-118.038412
"33.916988",-118.038412
"33.779792",-118.265556
"37.96857",-122.3654
"37.96857",-122.3654
"34.052364",-118.051729
"33.782526",-117.46764
"NA",NA
"33.782526",-117.46764
"38.3929",-122.7231
"38.3929",-122.7231
"35.460318",-118.897903
"34.0628",-117.50586
"34.0628",-117.50586
"37.52179",-122.02111
"37.52179",-122.02111
"37.52179",-122.02111
"37.52179",-122.02111
"37.0656",-120.1983
"33.74801",-117.85873
"37.39719",-121.13969
"NA",NA
"38.036103",-120.944875
"NA",NA
"37.87066",-121.18294
"NA",NA
"37.87066",-121.18294
"37.87066",-121.18294
"33.718848",-117.709077
"NA",NA
"33.718848",-117.709077
"33.095",-117.209
"33.095",-117.209
"33.095",-117.209
"37.6252",-120.8515
"NA",NA
"35.38142",-119.0535
"37.63545",-120.967602
"33.9378",-117.8375
"NA",NA
"33.9378",-117.8375
"38.005564",-122.088268
"37.20967",-121.90061
"37.20967",-121.90061
"34.27908",-119.147106
"34.920418",-120.44241
"34.024547",-117.943759
"37.39765",-121.931014
"38.949521",-122.800102
"38.184195",-121.84176
"38.019232",-122.083505
"33.78578",-118.182854
"38.089407",-122.121029
"38.089407",-122.121029
"33.941786",-118.064583
"33.918413",-118.047104
"34.030341",-117.797023
"36.8249",-121.3236
"NA",NA
"36.8249",-121.3236
"36.51552",-121.4342
"NA",NA
"36.51552",-121.4342
"34.03471",-117.98877
"34.07716",-117.52001
"38.006263",-121.941239
"NA",NA
"33.85306",-117.9198
"33.85306",-117.9198
"37.181488",-121.718877
"34.28842",-118.40075
"NA",NA
"34.42559",-118.63773
"NA",NA
"34.036478",-117.558432
"34.036478",-117.558432
"34.036478",-117.558432
"38.334757",-122.739808
"35.308323",-119.622243
"33.86882",-117.914516
"33.69105",-117.85289
"33.69105",-117.85289
"33.69105",-117.85289
"34.421006",-119.683197
"38.017472",-122.137814
"33.752117",-117.993006
"37.964862",-122.511702
"33.75821",-118.23951
"38.30351",-122.27831
"38.30351",-122.27831
"38.17491",-122.28239
"33.96048",-117.44704
"35.64883",-117.640617
"35.64883",-117.640617
"35.64883",-117.640617
"35.64883",-117.640617
"35.64883",-117.640617
"35.64883",-117.640617
"35.64883",-117.640617
"37.45439",-121.92373
"37.45439",-121.92373
"NA",NA
"37.45439",-121.92373
"34.14259",-118.00305
"34.0433",-117.3471
"34.14312",-117.40762
"34.036478",-117.558432
"38.315128",-121.830329
"38.315128",-121.830329
"38.103485",-121.09776
"33.85889",-118.01333
"33.85889",-118.01333
"33.85889",-118.01333
"37.820117",-122.28648
"33.769323",-117.860339
"34.323959",-119.292175
"33.96972",-118.04222
"33.96972",-118.04222
"33.96972",-118.04222
"33.96972",-118.04222
"33.96972",-118.04222
"33.96972",-118.04222
"33.96972",-118.04222
"33.96972",-118.04222
"37.948852",-122.363577
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"34.03333",-118.10555
"36.68723",-119.76371
"33.692034",-117.939003
"33.692034",-117.939003
"33.692034",-117.939003
"32.6055",-117.00504
"NA",NA
"32.6055",-117.00504
"32.6055",-117.00504
"37.4992",-122.411
"37.4992",-122.411
